container_id,receptacle_model_id,assignment_date,last_updated_date,group_name,address,city,state,zip,neighborhood,dpw_division,council_district,ward,fire_zone,x,y
1109,74,2018-07-27T13:19:02,2019-11-10T03:00:23,2nd Division,5135 Liberty Avenue,Pittsburgh,Pennsylvania,15224,Bloomfield,2,7,8,3-23,-79.94247633,40.45823515
623,74,2018-04-06T10:23:38,2019-11-10T03:00:18,2nd Division,4068 Penn Avenue,Pittsburgh,Pennsylvania,15224,Bloomfield,2,7,9,3-6,-79.95546262,40.46553702
1111,74,2018-07-27T13:19:02,2019-11-10T03:08:22,2nd Division,4736 Friendship Avenue,Pittsburgh,Pennsylvania,15224,Bloomfield,2,7,8,3-6,-79.9478198,40.46256784
1112,74,2018-07-27T13:19:02,2019-11-10T03:30:22,2nd Division,4753 Liberty Avenue,Pittsburgh,Pennsylvania,15224,Bloomfield,2,7,8,3-6,-79.94742856,40.46089093
311,74,2017-09-22T15:33:41,2019-11-10T02:06:28,3rd Division,1030 Fifth Avenue,Pittsburgh,Pennsylvania,15219,Bluff,3,6,1,2-4,-79.98981687,40.43869522
303,74,2017-09-22T15:33:41,2019-11-10T03:12:29,3rd Division,1304 Fifth Avenue,Pittsburgh,Pennsylvania,15219,Bluff,3,6,1,2-4,-79.98810961,40.43863268
729,74,2018-04-09T10:29:11,2019-11-10T03:00:25,3rd Division,1630 Fifth Avenue,Pittsburgh,Pennsylvania,15219,Bluff,3,6,1,2-4,-79.98301352,40.43840137
290,74,2017-09-22T15:33:41,2019-11-10T10:10:19,3rd Division,806 Fifth Avenue,Pittsburgh,Pennsylvania,15219,Bluff,6,6,1,2-4,-79.99243757,40.43880694
1045,74,2018-07-27T13:18:59,2019-11-10T03:03:21,3rd Division,1710 Forbes Ave,Pittsburgh,Pennsylvania,15219,Bluff,3,6,1,2-1,-79.98205356,40.43746646
1044,74,2018-07-27T13:18:59,2019-11-10T03:00:25,3rd Division,2032 Forbes Ave,Pittsburgh,Pennsylvania,15219,Bluff,3,6,1,2-1,-79.97615208,40.43721906
108,74,2017-09-19T12:22:50,2019-11-10T14:06:07,3rd Division,902 Fifth Avenue,Pittsburgh,Pennsylvania,15219,Bluff,6,6,1,2-4,-79.99160511,40.4387796
705,74,2018-04-09T10:29:10,2019-11-10T03:29:28,3rd Division,1712 Fifth Avenue,Pittsburgh,Pennsylvania,15219,Bluff,3,6,1,2-1,-79.98223312,40.43835844
109,74,2017-09-19T12:22:50,2019-11-10T09:20:27,3rd Division,1208 Fifth Avenue,Pittsburgh,Pennsylvania,15219,Bluff,3,6,1,2-4,-79.98850448,40.43864755
110,74,2017-09-19T12:22:50,2019-11-10T16:05:24,3rd Division,1000 Fifth Avenue,Pittsburgh,Pennsylvania,15219,Bluff,3,6,1,2-4,-79.99081945,40.43873336
704,74,2018-04-09T10:29:10,2019-11-10T03:18:24,3rd Division,1846 Fifth Avenue,Pittsburgh,Pennsylvania,15219,Bluff,3,6,1,2-1,-79.97955247,40.43826186
699,74,2018-04-09T10:29:10,2019-11-10T03:02:25,3rd Division,1522 Fifth Avenue,Pittsburgh,Pennsylvania,15219,Bluff,3,6,1,2-4,-79.98423284,40.4384626
686,74,2018-04-09T10:29:09,2019-11-10T03:04:24,3rd Division,1728 Fifth Avenue,Pittsburgh,Pennsylvania,15219,Bluff,3,6,1,2-1,-79.98158492,40.43834819
531,74,2018-03-16T15:12:31,2019-11-10T02:19:24,3rd Division,905 Watson Street,Pittsburgh,Pennsylvania,15219,Bluff,6,6,1,2-4,-79.9913,40.43848
164,74,2017-09-19T12:22:52,2019-11-10T02:30:21,3rd Division,1046 Fifth Avenue,Pittsburgh,Pennsylvania,15219,Bluff,3,6,1,2-4,-79.98931219,40.43868112
550,74,2018-03-16T15:12:32,2019-11-10T03:25:23,3rd Division,705 Forbes Avenue,Pittsburgh,Pennsylvania,15219,Bluff,6,6,1,2-4,-79.99302,40.43822
1038,74,2018-07-27T13:18:59,2019-11-10T03:00:23,3rd Division,2000 Forbes Ave,Pittsburgh,Pennsylvania,15219,Bluff,3,6,1,2-1,-79.97787092,40.43729988
321,74,2017-09-22T15:33:42,2019-11-10T03:22:20,3rd Division,1506 Fifth Avenue,Pittsburgh,Pennsylvania,15219,Bluff,3,6,1,2-4,-79.98493118,40.43848638
647,74,2018-04-06T10:23:39,2019-11-10T03:06:24,3rd Division,1324 Forbes Ave,Pittsburgh,Pennsylvania,15219,Bluff,3,6,1,2-4,-79.98675982,40.43768359
983,74,2018-07-27T13:18:56,2019-11-10T03:15:22,3rd Division,1714 Fifth Avenue,Pittsburgh,Pennsylvania,15219,Bluff,3,6,1,2-1,-79.98201249,40.4383587
985,74,2018-07-27T13:18:56,2019-11-10T03:09:25,3rd Division,1425 Forbes Ave,Pittsburgh,Pennsylvania,15219,Bluff,3,6,1,2-4,-79.98536419,40.43762173
978,74,2018-07-27T13:18:56,2019-11-10T03:20:17,3rd Division,1854 Forbes Ave,Pittsburgh,Pennsylvania,15219,Bluff,3,6,1,2-1,-79.97968081,40.43736016
982,74,2018-07-27T13:18:56,2019-11-10T03:02:24,3rd Division,1730 Forbes Ave,Pittsburgh,Pennsylvania,15219,Bluff,3,6,1,2-1,-79.981573,40.4374555
612,74,2018-04-06T10:23:37,2019-11-10T03:08:23,3rd Division,1638 Forbes Ave,Pittsburgh,Pennsylvania,15219,Bluff,3,6,1,2-1,-79.98282531,40.43751254
1052,74,2018-07-27T13:18:59,2019-11-10T03:14:23,3rd Division,1819 Forbes Ave,Pittsburgh,Pennsylvania,15219,Bluff,3,6,1,2-1,-79.98125256,40.4375553
1036,74,2018-07-27T13:18:59,2019-11-10T03:12:32,3rd Division,2229 Fifth Avenue,Pittsburgh,Pennsylvania,15219,Bluff,3,6,4,2-1,-79.97297603,40.43772179
314,74,2017-09-22T15:33:42,2019-11-10T03:28:26,3rd Division,1334 Fifth Avenue,Pittsburgh,Pennsylvania,15219,Bluff,3,6,1,2-4,-79.98712716,40.43859475
313,74,2017-09-22T15:33:42,2019-11-10T10:20:25,3rd Division,1420 Fifth Avenue,Pittsburgh,Pennsylvania,15219,Bluff,3,6,1,2-4,-79.98565933,40.43852387
